t_s,x_m,x_dot_mps,z_m,z_dot_mps,roll_rad,pitch_rad
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.001251564455569489e-02,2.649590413724792226e-04,5.174550267056982067e-02,3.040226622868634314e-03,5.723046469689521132e-01,-8.602840828857724262e-03,0.000000000000000000e+00
2.002503128911138977e-02,1.012847484897984708e-03,9.649315414711001626e-02,1.082304205314350842e-02,9.535182515750781906e-01,-3.088327494225068248e-02,0.000000000000000000e+00
3.003754693366708639e-02,2.174429754515882791e-03,1.344086055348717723e-01,2.161242315839049383e-02,1.178279775100086635e+00,-6.265766272211201193e-02,0.000000000000000000e+00
4.005006257822277954e-02,3.682136651289180489e-03,1.656582430365981795e-01,3.399696876819707780e-02,1.276702186062320665e+00,-1.009144161551842334e-01,0.000000000000000000e+00
5.006257822277847269e-02,5.470047227322343691e-03,1.904108126520392408e-01,4.684305278703024961e-02,1.274707429622762511e+00,-1.434806888968491456e-01,0.000000000000000000e+00
6.007509386733417278e-02,7.474001692361641191e-03,2.088374984988302652e-01,5.926152292174023672e-02,1.194311279941500992e+00,-1.888193704247332627e-01,0.000000000000000000e+00
7.008760951188985899e-02,9.631497010347499915e-03,2.211141461476577863e-01,7.055992974033896414e-02,1.054145540566571171e+00,-2.357777689068853988e-01,0.000000000000000000e+00
8.010012515644555908e-02,1.188186858145684130e-02,2.274187225077414776e-01,8.022225622595423322e-02,8.696743533567612428e-01,-2.835103777780149659e-01,0.000000000000000000e+00
9.011264080100125917e-02,1.416627505475808770e-02,2.279381793176954996e-01,8.787165572145876069e-02,6.537401689860087295e-01,-3.313329358571968086e-01,0.000000000000000000e+00
1.001251564455569454e-01,1.642772475379716476e-02,2.228861198382109943e-01,9.324385593868378397e-02,4.171328783054544798e-01,-3.786369172437026864e-01,0.000000000000000000e+00
1.101376720901126455e-01,1.861195894450152349e-02,2.125681294675802191e-01,9.618738304795401706e-02,1.693372267177982726e-01,-4.249198630709277169e-01,0.000000000000000000e+00
1.201501877346683456e-01,2.066869071670510150e-02,1.975353731346925212e-01,9.663269218724553078e-02,-7.945564416203507174e-02,-4.696745701168912324e-01,0.000000000000000000e+00
1.301627033792240318e-01,2.255515501229662587e-02,1.788136872716305503e-01,9.463415095243332686e-02,-3.165219820397601191e-01,-5.125419919901784693e-01,0.000000000000000000e+00
1.401752190237797180e-01,2.424251588225659684e-02,1.580461311368136501e-01,9.038342438912742860e-02,-5.273227026849101051e-01,-5.533407425913717814e-01,0.000000000000000000e+00
1.501877346683354320e-01,2.572034641660561616e-02,1.373409641126571434e-01,8.421725926331224965e-02,-6.967292815115095905e-01,-5.920786233409858212e-01,0.000000000000000000e+00
1.602002503128911182e-01,2.699976878832922172e-02,1.187092843085471583e-01,7.658768303187050985e-02,-8.189157158434683392e-01,-6.285117278596045187e-01,0.000000000000000000e+00
1.702127659574468044e-01,2.811022930882470933e-02,1.038772354115946456e-01,6.799154200428721151e-02,-8.886102412683430929e-01,-6.616435320955293964e-01,1.190215878272617682e-21
1.802252816020025183e-01,2.909808861208271549e-02,9.450897337413946553e-02,5.901783362515732045e-02,-8.946197284090591229e-01,-6.898816396288168784e-01,2.940645505074623670e-19
1.902377972465582046e-01,3.002698642151215014e-02,9.238473662568839895e-02,5.024670238648173276e-02,-8.475679748394453483e-01,-7.118777114116811022e-01,1.003711797459479771e-18
2.002503128911138908e-01,3.097629104375535999e-02,9.863552633650438106e-02,4.225406673326660700e-02,-7.378421988231411710e-01,-7.268492089417902813e-01,1.670566636906343425e-18
2.102628285356696047e-01,3.202853221627699476e-02,1.127225279637384669e-01,3.569102426705634407e-02,-5.632778015838746377e-01,-7.343748860609797813e-01,2.245753501232892910e-18
2.202753441802252909e-01,3.325301721039647385e-02,1.326420924451521821e-01,3.113979933459573579e-02,-3.394403784234261701e-01,-7.340925309715965463e-01,2.739146740967347951e-18
2.302878598247809772e-01,3.469637613517442126e-02,1.560777608131738159e-01,2.898713208171736083e-02,-8.754803687358454767e-02,-7.257669343675869911e-01,3.165505724341587728e-18
2.403003754693366911e-01,3.638367892772451095e-02,1.810955937399075510e-01,2.940798035482846892e-02,1.711324967283127108e-01,-7.094055556267212514e-01,3.533945243118391142e-18
2.503128911138923773e-01,3.832335133721609388e-02,2.062874528995753132e-01,3.237946952643924042e-02,4.196290330266992386e-01,-6.852515416074753674e-01,3.852328048359668831e-18
2.603254067584480635e-01,4.051177713193238050e-02,2.306450035745787053e-01,3.773557545435040489e-02,6.456487645950950149e-01,-6.536540743407438514e-01,4.127459862272856286e-18
2.703379224030037498e-01,4.293671066385873480e-02,2.534170121565663125e-01,4.520566619947399833e-02,8.410105605641667870e-01,-6.150080118289633635e-01,4.365207687617281902e-18
2.803504380475594360e-01,4.557920793254768149e-02,2.740205077008183165e-01,5.446930407000727392e-02,1.001346466162780224e+00,-5.696686416364360461e-01,4.570662982893516824e-18
2.903629536921151777e-01,4.841515527382397877e-02,2.919845438102599555e-01,6.500473310990055598e-02,1.089698779726679279e+00,-5.184244373727896482e-01,4.748199306961857808e-18
3.003754693366708639e-01,5.141610526059468833e-02,3.069230106229545729e-01,7.604750649745004032e-02,1.105155952989216095e+00,-4.627432152880358029e-01,4.901620570599274063e-18
3.103879849812265501e-01,5.455012448252857804e-02,3.185186869108515006e-01,8.694386931522743445e-02,1.062593334563431746e+00,-4.037703620210512101e-01,5.034197043955676760e-18
3.204005006257822363e-01,5.778243689087601137e-02,3.265143895982199895e-01,9.716823744849634181e-02,9.724755218837044524e-01,-3.423827445605643893e-01,5.148761577037479943e-18
3.304130162703379225e-01,6.107586794027637656e-02,3.307086536908218632e-01,1.062894060057745782e-01,8.444824517275394404e-01,-2.793255980433017593e-01,5.247765838818314698e-18
3.404255319148936088e-01,6.439166642508163674e-02,3.309465356153078464e-01,1.139798356522328943e-01,6.868365036731466367e-01,-2.151729932099404885e-01,5.333313825488343143e-18
3.504380475594492950e-01,6.768954544433812559e-02,3.271198556395707446e-01,1.199713479526998278e-01,5.068651260713455953e-01,-1.505325745641000745e-01,5.407243060318658117e-18
3.604505632040050367e-01,7.092840690367442635e-02,3.191566470998291605e-01,1.240736563651347185e-01,3.106703478360065551e-01,-8.593615894952684464e-02,5.471129080505307466e-18
3.704630788485607229e-01,7.406676931604477820e-02,3.070272373301700108e-01,1.261572229985268301e-01,1.034221451704923078e-01,-2.190277086523137462e-02,5.526332461025832340e-18
3.804755944931164091e-01,7.706292712562547165e-02,2.907720133859479916e-01,1.261267968853596044e-01,-1.099532756922196042e-01,4.097382930475625823e-02,5.574039538276955284e-18
3.904881101376720953e-01,7.987617342171614288e-02,2.705609017245296233e-01,1.239497231732488852e-01,-3.244831479005224062e-01,1.021529029667756217e-01,5.615263966529318515e-18
4.005006257822277815e-01,8.246935890205189801e-02,2.469054559279258154e-01,1.196501564889181080e-01,-5.329405440797304605e-01,1.611089893156137376e-01,5.649546938408675671e-18
4.105131414267834677e-01,8.481236334279411426e-02,2.208441947329711774e-01,1.133333067836750641e-01,-7.246267777670838406e-01,2.174018279892360184e-01,5.654844012678958655e-18
4.205256570713392095e-01,8.688940244096832188e-02,1.940949401369980731e-01,1.052386853182618737e-01,-8.861977935555516162e-01,2.708579163749348373e-01,5.721751722151733162e-18
4.305381727158948957e-01,8.870346565308627473e-02,1.686400428354162540e-01,9.574063343700324469e-02,-1.002541916882490725e+00,3.213112820710151141e-01,5.859575323308749314e-18
4.405506883604505819e-01,9.027715102517892831e-02,1.463638465020537793e-01,8.533481390064628913e-02,-1.068998383900905180e+00,3.682511535015269288e-01,5.881861969358918675e-18
4.505632040050062681e-01,9.165027198843941902e-02,1.288447335176636233e-01,7.446266987210885258e-02,-1.093165774681689184e+00,4.101596216492646163e-01,6.043558780519538197e-18
4.605757196495619543e-01,9.287857434264724932e-02,1.177287822962396063e-01,6.366807953998787628e-02,-1.055238178369149349e+00,4.451188176957787124e-01,6.506186775059660419e-18
4.705882352941176405e-01,9.403492726736545348e-02,1.146966522747935313e-01,5.350463554459825022e-02,-9.653172638188330934e-01,4.719710116954700663e-01,6.900873453133359775e-18
4.806007509386733823e-01,9.520494286227426661e-02,1.204486741786270770e-01,4.454217778563707153e-02,-8.143925559905322853e-01,4.902081093382438248e-01,7.248794570999723142e-18
4.906132665832290685e-01,9.647281666190588023e-02,1.339205225530771537e-01,3.739629993508012534e-02,-6.044547056068052537e-01,4.996618223585130303e-01,7.547606187107016847e-18
5.006257822277847547e-01,9.790524110584311601e-02,1.529310014303528753e-01,3.257695918513635325e-02,-3.528786506800951073e-01,5.002133506336040591e-01,7.805823793236215958e-18
5.106382978723403854e-01,9.954584009381707566e-02,1.751508907242325386e-01,3.039473344817269704e-02,-8.173378483372040204e-02,4.918977056081462740e-01,8.028964094831393050e-18
5.206508135168961271e-01,1.014172040951084874e-01,1.987637624662979274e-01,3.093753412434709776e-02,1.890311106504802829e-01,4.750058713349007977e-01,8.221784536013459667e-18
5.306633291614518688e-01,1.035262999903918402e-01,2.224526436930522322e-01,3.412467199026150005e-02,4.437616497829369733e-01,4.499460469976396260e-01,8.388414232100348895e-18
5.406758448060074995e-01,1.058688647723021320e-01,2.452626096010377121e-01,3.973382969404684606e-02,6.716533842558441991e-01,4.172170075789694010e-01,8.532402691572324446e-18
5.506883604505632412e-01,1.084323259494185676e-01,2.664719438748979208e-01,4.746658892849522915e-02,8.668733131768333600e-01,3.772912356229507491e-01,8.656835045095005514e-18
5.607008760951188719e-01,1.111976996366916270e-01,2.855127626926727280e-01,5.691881746830263628e-02,1.011458132465453241e+00,3.307263856055562279e-01,8.764357747121997725e-18
5.707133917396746137e-01,1.141409376536851317e-01,3.019206085086942881e-01,6.748375849914210745e-02,1.085816533183995070e+00,2.785740084519488513e-01,8.857270703722086553e-18
5.807259073842303554e-01,1.172336114100686055e-01,3.153158146436221831e-01,7.843078057020841376e-02,1.090930889774070822e+00,2.222156742563018428e-01,8.937566235455581235e-18
5.907384230287859861e-01,1.204440199038032261e-01,3.253837189542428399e-01,8.913929657809220586e-02,1.039189967951607230e+00,1.627006656147046426e-01,9.006949171968676128e-18
6.007509386733417278e-01,1.237374946223735173e-01,3.318718518097653059e-01,9.908927077907622727e-02,9.415074355022106101e-01,1.009409373433773072e-01,9.066907840942617996e-18
6.107634543178973585e-01,1.270771292527157204e-01,3.345817523753935596e-01,1.078699118763762343e-01,8.073521673700965184e-01,3.764180381552856280e-02,9.118721335863284705e-18
6.207759699624531002e-01,1.304243966969856894e-01,3.333622922319434134e-01,1.151633738043948002e-01,6.448567687596034048e-01,-2.660822754105401922e-02,9.163493580988564976e-18
6.307884856070087309e-01,1.337392666537696451e-01,3.281086268506164250e-01,1.207137028696092795e-01,4.612116910085154453e-01,-9.120231436832419714e-02,9.202185603954018165e-18
6.408010012515644727e-01,1.369810543214176335e-01,3.187512267694170287e-01,1.243469539654204203e-01,2.622986673839239891e-01,-1.556280260011118077e-01,9.235619729751593375e-18
6.508135168961202144e-01,1.401085386844087011e-01,3.052706767275071287e-01,1.259348706190217271e-01,5.335049150930378653e-02,-2.193267833489834229e-01,9.264511736885620718e-18
6.608260325406758451e-01,1.430805121692856618e-01,2.877221377436213756e-01,1.253974935958555026e-01,-1.607844431196534529e-01,-2.817260988005121924e-01,9.289479567194607746e-18
6.708385481852315868e-01,1.458573141163650999e-01,2.663428922815498923e-01,1.227154504292301829e-01,-3.746652409023965569e-01,-3.422917728446230878e-01,9.311054016610879813e-18
6.808510638297872175e-01,1.484032866531822259e-01,2.417463939353801383e-01,1.179243905613841098e-01,-5.800827829525383450e-01,-4.004906415937835584e-01,9.329698542226606153e-18
6.908635794743429592e-01,1.506915864927035054e-01,2.151670024953203919e-01,1.111627574516265843e-01,-7.658911436008633000e-01,-4.559740528827894157e-01,9.345809952002833392e-18
7.008760951188985899e-01,1.527113085288473726e-01,1.883962348240171558e-01,1.026991612258727343e-01,-9.182246627547927531e-01,-5.085745992155997763e-01,9.359731588805671663e-18
7.108886107634543317e-01,1.544706280282884536e-01,1.634812755944028417e-01,9.294601901931853760e-02,-1.021608129029666800e+00,-5.581562817163512324e-01,9.379414682349753641e-18
7.209011264080100734e-01,1.559970710250070947e-01,1.421550662425496436e-01,8.241779361232777490e-02,-1.073201182097099249e+00,-6.038899296284481188e-01,9.420064747255268953e-18
7.309136420525657041e-01,1.573344981621789540e-01,1.260119458374220347e-01,7.161941084618678177e-02,-1.075053109482141167e+00,-6.441569984102124558e-01,9.332120974441655830e-18
7.409261576971214458e-01,1.585431809776733647e-01,1.167385200420023306e-01,6.104680886182536903e-02,-1.028476691739182103e+00,-6.771225791294890328e-01,8.925114060766086193e-18
7.509386733416770765e-01,1.597006521210746210e-01,1.158813859252226380e-01,5.121325790216485485e-02,-9.261930106271242247e-01,-7.018102476813921076e-01,8.720952563052811805e-18
7.609511889862328182e-01,1.608930965762806475e-01,1.237217972688670897e-01,4.271010191738230932e-02,-7.613246142825254026e-01,-7.178701437383609996e-01,8.713240990927855378e-18
7.709637046307885599e-01,1.622022662568179674e-01,1.388010441798413763e-01,3.615357598214340162e-02,-5.406405811127166228e-01,-7.250946120665416883e-01,8.685115394015433686e-18
7.809762202753441906e-01,1.636889173306294576e-01,1.587832122749680830e-01,3.200584580659644046e-02,-2.834155057169564507e-01,-7.234117745964872004e-01,8.660430233644269543e-18
7.909887359198999324e-01,1.653908358926528821e-01,1.814671631536685092e-01,3.052582690931109413e-02,-1.167727236070831287e-02,-7.129083448924585786e-01,8.639098356791224034e-18
8.010012515644555631e-01,1.673261467852717177e-01,2.051690110658088428e-01,3.175614071380775810e-02,2.554928418453359384e-01,-6.939125993420452998e-01,8.620664834882315250e-18
8.110137672090113048e-01,1.694986631503589691e-01,2.286771514049909526e-01,3.557790422502493666e-02,5.036891303977791834e-01,-6.668660013433953537e-01,8.604735312610380379e-18
8.210262828535669355e-01,1.719017919678728079e-01,2.511072160937479758e-01,4.174603397849696584e-02,7.230947981308601946e-01,-6.322647278299214912e-01,8.590970218764697558e-18
8.310387984981226772e-01,1.745212106279468156e-01,2.717819801946182445e-01,4.995380666437286565e-02,9.102752369426665435e-01,-5.905563853898809779e-01,8.579074649547666878e-18
8.410513141426784189e-01,1.773365366606531601e-01,2.901637509740069287e-01,5.977412502427356666e-02,1.041533370902316680e+00,-5.423295551869945497e-01,8.568795538353748611e-18
8.510638297872340496e-01,1.803226186903014450e-01,3.058101896535070363e-01,7.053936854881411034e-02,1.094394085956463147e+00,-4.887871623028700041e-01,8.559913400982329161e-18
8.610763454317897914e-01,1.834500707264865305e-01,3.183599488114481901e-01,8.148473733772854111e-02,1.082563426798001993e+00,-4.314255510526362469e-01,8.552237264822271690e-18
8.710888610763454221e-01,1.866864190095666176e-01,3.275143152589718443e-01,9.203764384140930566e-02,1.017206344304215415e+00,-3.711749673522940496e-01,8.545604286540185088e-18
8.811013767209011638e-01,1.899964428420825857e-01,3.330343021799158088e-01,1.017131927944792263e-01,9.086988471682433399e-01,-3.088664248539193524e-01,8.539872472905363351e-18
8.911138923654567945e-01,1.933426822161017633e-01,3.347352965308593720e-01,1.101202491668261951e-01,7.662057875907470894e-01,-2.452082088718026409e-01,8.534919083989646854e-18
9.011264080100125362e-01,1.966862952947577015e-01,3.324770610460403009e-01,1.169684066380953791e-01,5.974372470445346028e-01,-1.807458174947599860e-01,8.530638928948405402e-18
9.111389236545682779e-01,1.999870445347465830e-01,3.261647234577834120e-01,1.220215957716608846e-01,4.092510661005118733e-01,-1.160735524095397736e-01,8.526940100498926606e-18
9.211514392991239086e-01,2.032039867014057699e-01,3.157392361932539471e-01,1.251159624055841468e-01,2.073420354941030164e-01,-5.172814277888528045e-02,8.523743747782519862e-18
9.311639549436796504e-01,2.062959837188273193e-01,3.011947287762821723e-01,1.261456051903165343e-01,-3.372030080872834290e-03,1.176334830532627107e-02,8.520981806523463514e-18
9.411764705882352811e-01,2.092220484145249360e-01,2.826258129106412609e-01,1.250383818108027345e-01,-2.178834262852467341e-01,7.380447261799384651e-02,8.518594928361699630e-18
9.511889862327910228e-01,2.119430203802165347e-01,2.603338511072884054e-01,1.217876522900992742e-01,-4.303593770928418882e-01,1.338611500142417032e-01,8.516532384909076241e-18
9.612015018773467645e-01,2.144252596799631760e-01,2.350792530511454648e-01,1.164571347721721772e-01,-6.319240781223314229e-01,1.914530611477167632e-01,8.517468190245267114e-18
9.712140175219023952e-01,2.166451013140471837e-01,2.082388782945530370e-01,1.092081593325160416e-01,-8.103745514527680438e-01,2.462363135145132220e-01,8.551412233524132698e-18
9.812265331664581369e-01,2.185965211332268898e-01,1.817715242416269861e-01,1.003598565681009108e-01,-9.501714203413924587e-01,2.981438005402439195e-01,8.473856647341940430e-18
9.912390488110137676e-01,2.202928697025582083e-01,1.576106156089560895e-01,9.035008676788532089e-02,-1.040642227139827014e+00,3.468528273685223540e-01,8.175772679540116326e-18
1.001251564455569509e+00,2.217661788671962397e-01,1.374743828522517197e-01,7.963625140727277618e-02,-1.091482467995173566e+00,3.913641263823844918e-01,7.869782939033572231e-18
1.011264080100125140e+00,2.230644238650130451e-01,1.229282524404053945e-01,6.871074329028216410e-02,-1.080756342235967393e+00,4.297882063703846733e-01,7.754267547543972008e-18
1.021276595744680771e+00,2.242521422788297802e-01,1.156953096721877461e-01,5.817174524114013950e-02,-1.015953109036134450e+00,4.605715786661891409e-01,7.684033606190962229e-18
1.031289111389236623e+00,2.254104582534563750e-01,1.171135555579727872e-01,4.855669526924749624e-02,-8.947150150715932337e-01,4.829623039068051682e-01,7.619068666251343901e-18
1.041301627033792254e+00,2.266259349739786766e-01,1.270080836525741830e-01,4.046331272908032517e-02,-7.116287317142536706e-01,4.966635722370368322e-01,7.562930200761839410e-18
1.051314142678347885e+00,2.279759779145814347e-01,1.435744764476294955e-01,3.447590439164733428e-02,-4.776204476094155771e-01,5.015092540611737482e-01,7.514417475892728690e-18
1.061326658322903738e+00,2.295153399763723845e-01,1.644417999149531129e-01,3.100052397414619978e-02,-2.132359425919558293e-01,4.974621908853650853e-01,7.472495888661037482e-18
1.071339173967459368e+00,2.312762432602043505e-01,1.875256864131116807e-01,3.023415537194069219e-02,5.990738621171282086e-02,4.846765786842542889e-01,7.436269249455425060e-18
1.081351689612014999e+00,2.332727171230010443e-01,2.112762010568197957e-01,3.216927589733500903e-02,3.239904739079797480e-01,4.635217141937292840e-01,7.404964500929795720e-18
